# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1416684253;sda;3.94;0.00;132.44;33.63;0.01;2.44;0.19;0.07
axle;60;1416684313;sda;4.07;0.00;224.05;54.98;0.01;1.34;0.11;0.05
axle;60;1416684373;sda;2.95;0.00;140.47;47.59;0.01;2.28;0.18;0.05
axle;60;1416684433;sda;3.18;0.00;149.27;46.87;0.00;0.80;0.08;0.03
axle;60;1416684493;sda;3.81;0.00;188.51;49.51;0.01;1.39;0.11;0.04
axle;60;1416684553;sda;3.18;0.00;132.84;41.72;0.00;0.94;0.06;0.02
axle;60;1416684613;sda;3.08;0.00;158.80;51.50;0.00;0.45;0.06;0.02
axle;60;1416684673;sda;2.53;0.00;117.13;46.21;0.00;0.53;0.11;0.03
axle;60;1416684733;sda;3.29;0.00;164.41;49.99;0.01;2.52;0.10;0.03
axle;60;1416684793;sda;2.90;0.00;136.69;47.08;0.00;1.08;0.14;0.04
