# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1416684253;0.00;66.22;504926.90;0.00;35089.42;0.00;0.00;0.00;0.00
axle;60;1416684313;0.00;112.02;358805.86;0.00;28055.59;0.00;0.00;0.00;0.00
axle;60;1416684373;0.00;70.24;350317.63;0.00;26048.62;0.00;0.00;0.00;0.00
axle;60;1416684433;0.00;74.64;323885.26;0.00;27471.32;0.00;0.00;0.00;0.00
axle;60;1416684493;0.00;94.26;372422.85;0.00;37381.13;0.00;0.00;0.00;0.00
axle;60;1416684553;0.00;66.42;256467.44;0.00;19672.14;0.00;0.00;0.00;0.00
axle;60;1416684613;0.00;79.40;272065.67;0.00;29016.60;0.00;0.00;0.00;0.00
axle;60;1416684673;0.00;58.56;220663.88;0.00;13346.87;0.00;0.00;0.00;0.00
axle;60;1416684733;0.00;82.20;281110.55;0.00;17392.14;0.00;0.00;0.00;0.00
axle;60;1416684793;0.00;68.35;320731.59;0.00;12512.81;0.00;0.00;0.00;0.00
