# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416683431;40776300;223748124;84.59;299808;20018428;207961360;76.20
axle;60;1416683491;48716068;215808356;81.58;299888;12176316;207880272;76.17
axle;60;1416683551;47117580;217406844;82.19;299936;14155356;207456308;76.02
axle;60;1416683611;44941664;219582760;83.01;299996;14717284;209072108;76.61
axle;60;1416683671;46345348;218179076;82.48;300056;14930352;207457252;76.02
axle;60;1416683731;44485556;220038868;83.18;300152;16646256;207608440;76.07
axle;60;1416683791;41589796;222934628;84.28;300236;19658700;207497396;76.03
axle;60;1416683851;40906288;223618136;84.54;300292;20384820;207455716;76.02
axle;60;1416683911;40890888;223633536;84.54;300340;20386160;207455716;76.02
axle;60;1416683971;38853564;225670860;85.31;300404;22420024;207458972;76.02
axle;60;1416684031;37818152;226706272;85.70;300484;22501364;208410688;76.37
