# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1416683431;-72778.68;0.28;70779.38
axle;60;1416683491;33082.37;0.33;-32675.47
axle;60;1416683551;-6662.59;0.20;8248.75
axle;60;1416683611;-9070.85;0.25;2342.54
axle;60;1416683671;5848.68;0.25;887.78
axle;60;1416683731;-7750.43;0.40;7150.79
axle;60;1416683791;-12071.70;0.35;12558.13
axle;60;1416683851;-2848.90;0.23;3026.51
axle;60;1416683911;-64.19;0.20;5.59
axle;60;1416683971;-8490.27;0.27;8475.85
axle;60;1416684031;-4315.66;0.33;339.03
