# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416682909;56278700;208245724;78.72;299284;4986608;207482432;76.03
axle;60;1416682969;54265532;210258892;79.49;299332;6999380;207477036;76.02
axle;60;1416683029;54260420;210264004;79.49;299356;7000820;207477228;76.02
axle;60;1416683089;54260700;210263724;79.49;299400;7002440;207477228;76.02
axle;60;1416683149;54261372;210263052;79.49;299444;7004104;207468972;76.02
axle;60;1416683209;50969608;213554816;80.73;299484;7006352;210919084;77.29
axle;60;1416683269;52835376;211689048;80.03;299512;7008476;209079412;76.61
axle;60;1416683329;54227400;210297024;79.50;299564;7035932;207477144;76.02
